session;Raw_Cluster;Macro_Cluster;k_aircraft;k_operator;k_mission
3150351;37;Cluster 1 (Majeur A);41622;81;1
3150354;1;Cluster 5 (Outliers);56593;23;4
3150361;39;Cluster 2 (Majeur B);48260;161;1
3150375;37;Cluster 1 (Majeur A);46890;81;1
3150414;37;Cluster 1 (Majeur A);46450;3;1
3150415;37;Cluster 1 (Majeur A);46829;3;1
3150417;37;Cluster 1 (Majeur A);46874;10;1
3150418;37;Cluster 1 (Majeur A);46874;10;1
3150559;39;Cluster 2 (Majeur B);56578;12;3
3150579;37;Cluster 1 (Majeur A);48090;3;1
3150581;37;Cluster 1 (Majeur A);52519;3;1
3150611;37;Cluster 1 (Majeur A);52520;112;1
3150728;39;Cluster 2 (Majeur B);48260;161;1
3150758;39;Cluster 2 (Majeur B);46852;20;-2
3150761;39;Cluster 2 (Majeur B);41622;81;1
3150810;37;Cluster 1 (Majeur A);46829;3;1
3150811;37;Cluster 1 (Majeur A);50826;3;1
3150830;37;Cluster 1 (Majeur A);46890;81;1
3150848;37;Cluster 1 (Majeur A);41623;161;1
3150849;39;Cluster 2 (Majeur B);41623;161;1
3150865;37;Cluster 1 (Majeur A);46450;3;1
3150866;37;Cluster 1 (Majeur A);46450;3;1
3150871;37;Cluster 1 (Majeur A);48117;10;1
3150884;39;Cluster 2 (Majeur B);46896;20;-2
3150885;37;Cluster 1 (Majeur A);46851;81;1
3150888;37;Cluster 1 (Majeur A);41621;83;1
3150889;39;Cluster 2 (Majeur B);41621;83;1
3150890;37;Cluster 1 (Majeur A);52522;83;1
3150891;37;Cluster 1 (Majeur A);52524;83;1
3150953;39;Cluster 2 (Majeur B);48260;161;1
3150954;39;Cluster 2 (Majeur B);48260;161;1
3150996;37;Cluster 1 (Majeur A);48090;3;1
3150998;37;Cluster 1 (Majeur A);50670;3;1
3151015;37;Cluster 1 (Majeur A);52523;83;1
3151017;37;Cluster 1 (Majeur A);52523;83;1
3151021;39;Cluster 2 (Majeur B);52520;112;1
3151187;37;Cluster 1 (Majeur A);52522;83;1
3151229;37;Cluster 1 (Majeur A);46890;81;1
3151232;37;Cluster 1 (Majeur A);52524;83;1
3151233;41;Cluster 4 (Mineur B);46875;112;1
3151283;37;Cluster 1 (Majeur A);52519;3;1
3151488;37;Cluster 1 (Majeur A);46450;3;1
3151489;37;Cluster 1 (Majeur A);52521;10;1
3151520;37;Cluster 1 (Majeur A);48117;10;1
3151634;39;Cluster 2 (Majeur B);52255;298;1
3151657;39;Cluster 2 (Majeur B);52254;298;1
3151658;37;Cluster 1 (Majeur A);50825;335;1
3151670;41;Cluster 4 (Mineur B);46875;112;1
3151671;39;Cluster 2 (Majeur B);46875;112;1
3151672;37;Cluster 1 (Majeur A);46875;112;1
3151682;39;Cluster 2 (Majeur B);52255;298;1
3151702;37;Cluster 1 (Majeur A);52524;83;1
3151715;37;Cluster 1 (Majeur A);54806;394;1
3151741;39;Cluster 2 (Majeur B);46852;20;-2
3151763;39;Cluster 2 (Majeur B);52255;298;1
3151905;37;Cluster 1 (Majeur A);46829;3;1
3151924;37;Cluster 1 (Majeur A);41622;81;1
3152038;37;Cluster 1 (Majeur A);50826;3;1
3152040;37;Cluster 1 (Majeur A);46859;335;1
3152042;37;Cluster 1 (Majeur A);46874;10;1
3152043;37;Cluster 1 (Majeur A);46874;10;1
3152071;37;Cluster 1 (Majeur A);46890;81;1
3152173;37;Cluster 1 (Majeur A);46450;3;1
3152174;37;Cluster 1 (Majeur A);52519;3;1
3152176;37;Cluster 1 (Majeur A);48117;10;1
3152189;20;Cluster 5 (Outliers);48382;81;1
3152223;39;Cluster 2 (Majeur B);41623;161;1
3152231;37;Cluster 1 (Majeur A);50670;3;1
3152232;37;Cluster 1 (Majeur A);46829;3;1
3152241;37;Cluster 1 (Majeur A);41624;81;1
3152277;39;Cluster 2 (Majeur B);41560;81;1
3152279;37;Cluster 1 (Majeur A);41560;81;1
3152280;37;Cluster 1 (Majeur A);52524;83;1
3152346;39;Cluster 2 (Majeur B);48109;20;-2
3152359;39;Cluster 2 (Majeur B);46890;81;1
3152364;37;Cluster 1 (Majeur A);52522;83;1
3152365;37;Cluster 1 (Majeur A);41620;83;1
3152397;37;Cluster 1 (Majeur A);50826;3;1
3152399;37;Cluster 1 (Majeur A);48117;10;1
3152400;37;Cluster 1 (Majeur A);48112;10;1
3152409;39;Cluster 2 (Majeur B);41622;81;1
3152413;37;Cluster 1 (Majeur A);41621;83;1
3152438;37;Cluster 1 (Majeur A);46450;3;1
3152485;37;Cluster 1 (Majeur A);52523;83;1
3152486;37;Cluster 1 (Majeur A);52523;83;1
3152564;37;Cluster 1 (Majeur A);50670;3;1
3152565;37;Cluster 1 (Majeur A);46829;3;1
3152582;37;Cluster 1 (Majeur A);41620;83;1
3152583;37;Cluster 1 (Majeur A);52524;83;1
3152584;38;Cluster 5 (Outliers);52520;112;1
3152612;37;Cluster 1 (Majeur A);46829;3;1
3152613;39;Cluster 2 (Majeur B);46874;10;1
3152619;8;Cluster 5 (Outliers);54674;339;3
3152623;26;Cluster 5 (Outliers);54674;339;3
3152629;39;Cluster 2 (Majeur B);41621;83;1
3152632;39;Cluster 2 (Majeur B);46875;112;1
3152859;37;Cluster 1 (Majeur A);52524;83;1
3152860;37;Cluster 1 (Majeur A);46875;112;1
3152861;39;Cluster 2 (Majeur B);46875;112;1
3152868;37;Cluster 1 (Majeur A);48117;10;1
3153013;37;Cluster 1 (Majeur A);46859;335;1
3153022;37;Cluster 1 (Majeur A);50825;335;1
3153048;39;Cluster 2 (Majeur B);49415;335;1
3153056;37;Cluster 1 (Majeur A);54806;394;1
3153093;37;Cluster 1 (Majeur A);48380;20;-2
3153144;30;Cluster 5 (Outliers);46859;335;1
3153185;39;Cluster 2 (Majeur B);46896;20;-2
3153186;39;Cluster 2 (Majeur B);46852;20;-2
3153187;39;Cluster 2 (Majeur B);46896;20;-2
3153226;37;Cluster 1 (Majeur A);52519;3;1
3153354;39;Cluster 2 (Majeur B);46450;3;1
3153355;37;Cluster 1 (Majeur A);46450;3;1
3153359;37;Cluster 1 (Majeur A);46433;10;1
3153362;37;Cluster 1 (Majeur A);48117;10;1
3153411;39;Cluster 2 (Majeur B);46863;20;-2
3153419;39;Cluster 2 (Majeur B);46896;20;-2
3153427;39;Cluster 2 (Majeur B);50378;277;3
3153430;37;Cluster 1 (Majeur A);50378;277;3
3153449;37;Cluster 1 (Majeur A);41622;81;1
3153454;39;Cluster 2 (Majeur B);41560;81;1
3153455;39;Cluster 2 (Majeur B);46890;81;1
3153543;39;Cluster 2 (Majeur B);41623;161;1
3153545;39;Cluster 2 (Majeur B);48260;161;1
3153576;37;Cluster 1 (Majeur A);50826;3;1
3153577;39;Cluster 2 (Majeur B);52519;3;1
3153630;37;Cluster 1 (Majeur A);52255;298;1
3153634;37;Cluster 1 (Majeur A);41559;81;1
3153700;37;Cluster 1 (Majeur A);48117;10;1
3153730;31;Cluster 3 (Mineur A);50440;83;1
3153917;37;Cluster 1 (Majeur A);50670;3;1
3153957;39;Cluster 2 (Majeur B);48109;20;-2
3153959;39;Cluster 2 (Majeur B);52255;298;1
3153965;37;Cluster 1 (Majeur A);41560;81;1
3154036;39;Cluster 2 (Majeur B);41623;161;1
3154169;37;Cluster 1 (Majeur A);46450;3;1
3154170;37;Cluster 1 (Majeur A);50670;3;1
3154248;37;Cluster 1 (Majeur A);52523;83;1
3154255;36;Cluster 5 (Outliers);52523;83;1
3154256;37;Cluster 1 (Majeur A);52524;83;1
3154261;31;Cluster 3 (Mineur A);50440;83;1
3154262;37;Cluster 1 (Majeur A);41620;83;1
3154263;37;Cluster 1 (Majeur A);52522;83;1
3154326;39;Cluster 2 (Majeur B);48260;161;1
3154327;39;Cluster 2 (Majeur B);48260;161;1
3154357;39;Cluster 2 (Majeur B);46851;81;1
3154589;37;Cluster 1 (Majeur A);52524;83;1
3154590;37;Cluster 1 (Majeur A);46875;112;1
3154591;39;Cluster 2 (Majeur B);46875;112;1
3154630;37;Cluster 1 (Majeur A);46450;3;1
3154637;31;Cluster 3 (Mineur A);50440;83;1
3154638;37;Cluster 1 (Majeur A);41620;83;1
3154739;39;Cluster 2 (Majeur B);52254;298;1
3154750;39;Cluster 2 (Majeur B);46859;335;1
3154767;39;Cluster 2 (Majeur B);50825;335;1
3154768;38;Cluster 5 (Outliers);52255;298;1
3154787;37;Cluster 1 (Majeur A);54806;394;1
3154788;37;Cluster 1 (Majeur A);54806;394;1
