,F_SESSION,k_aircraft,k_operator,k_mission,flight_document,cluster
876,3168472,54806,394,1,189_190_190_190_190 191_192_192_192_192 192_192_192_192_2 2_5_5_5_5 5_5_5_5_2 4_3_3_3_3 3_3_3_3_2 2_6_6_6_6 6_6_6_6_7 1326_4346_4346_4346_2457 1136_1132_1132_1132_1133 1133_1136_1136_1136_1132 1313_1335_1335_1335_1099 1098_1096_1096_1096_1097 1334_2459_2459_2459_1099 966_966_966_966_966 966_966_966_966_966 570_570_570_570_570 2819_2820_2820_2820_2821 13638_4394_4394_4394_836 7_119_119_119_119 4_3_3_3_4 4_5_5_5_4 4_2_2_2_5 2_5_5_5_5 5_5_5_5_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_5_5_5_5 5_5_5_5_2 4_5_5_5_5 5_5_5_5_2 2_6_6_6_6 6_6_6_6_7 7_115_115_115_370 706_2450_2450_2450_1837 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 6_6_6_6_7 4481_706_706_706_2450 4632_2184_2184_2184_4633 2184_4632_4632_4632_2184 4633_2184_2184_2184_4632 7479_7761_7761_7761_7479 5739_7683_4079_4079_4078 4078_4078_4079_4078_4078 2184_4632_4632_4632_2184 2184_4633_4633_4633_4079 4079_4079_4078_4079_4079 4079_4079_4078_4079_4079 5739_4078_4078_4078_4079 4078_5739_5739_5739_7683 4078_4078_4079_4078_4078 4079_4078_4078_4078_4079 4078_4079_4079_4632_2184 7707_4081_4081_4081_5822 7681_7707_7707_7707_7681 4080_4081_4081_4081_4080 4081_4080_4080_4080_4081 4078_4078_4079_4078_4078 5739_4078_4078_4078_4079 4078_4079_4078_4079_4078 7683_5739_5739_5739_7683 5739_7683_7683_7683_5739 4080_7761_7761_7761_7479 7479_7761_7761_7761_7479 115_115_115_115_7 4_2_2_2_3 2_3_3_3_3 3_3_3_3_4 4_5_5_5_5 2_5_5_5_5 5_5_5_5_2,2
877,3168487,46896,20,-2,2_3_3_3_3 3_3_3_3_2 2_5_5_5_5 5_5_5_5_2 2_6_6_6_6 6_6_6_6_7 7_118_118_118_118 118_118_118_118_7 115_115_115_115_115 115_115_115_115_115 7_193_193_193_193 193_193_193_193_7 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 7_7_116_7_7 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 701_5725_5725_702_10688 116_7_7_116_116 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 291_291_291_291_115 119_119_119_119_2 2_5_5_5_5 5_5_5_5_2 4_5_5_5_5 5_5_5_5_2 4_3_3_3_3 3_3_3_3_4 2_3_3_3_3 3_3_3_3_2 189_190_190_190_190,2
878,3168488,39023,298,1,2_3_3_3_3 3_3_3_3_2 2_5_5_5_5 5_5_5_5_2 4_3_3_3_3 3_3_3_3_4 4_3_3_3_3 3_3_3_3_4 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 2777_2176_2176_2176_2173 2181_3045_3045_3045_2181 2181_3045_3045_2181_3045 3045_2181_3045_3045_2181 3045_2181_2181_2181_3045 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 2193_3051_2193_2193_3051 1215_1124_1124_1124_1207 3911_6557_6557_6557_3911 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 7_119_119_119_119 119_119_119_119_2 4_5_5_5_5 2_3_3_3_3 3_3_3_3_2 2_3_3_3_3 3_3_3_3_2,0
879,3169072,48090,3,1,189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_3_3_3_3 3_3_3_3_4 4_5_4_4_5 5_4_4_5_4 4_5_5_5_4 4_5_5_5_5 5_5_5_5_2 2_6_6_6_6 6_115_115_291_12 1129_1140_1140_1131_1140 1132_1136_1136_1136_1132 2767_1545_1545_1545_1887 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 6_6_6_6_7 1140_1141_1141_1141_1129 1140_1129_1129_1129_1141 7_119_119_119_119 4_2_2_2_3 2_3_3_2_3 3_2_3_3_2 2_3_3_2_3 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 189_190_190_190_190 190_190_190_190_191,3
880,3169073,46829,3,1,189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_5_2_2_5 2_5_5_5_5 4_5_5_5_4 4_5_5_5_5 5_5_5_5_2 2_6_6_6_6 6_6_6_6_7 7_115_115_115_12 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 6_6_6_6_7 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 6_6_6_6_7 1208_1098_1098_1098_1099 1313_1335_1335_1335_1313 1335_1313_1313_1313_1335 1133_1134_1134_1134_1136 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 6_6_6_6_7 1203_1140_1140_1140_1136 1127_1126_1126_1126_1206 1131_1125_1125_1125_1126 1207_1208_1208_1208_1097 1208_1097_1096_1096_1126 1096_1126_1126_1126_1125 1096_1127_1127_1127_1125 1125_1097_1097_1097_1096 1207_1209_1209_1209_1208 1099_1126_1126_1126_1128 1096_1097_1097_1097_1096 1097_1096_1096_1096_1124 1207_1123_1123_1123_1096 1096_1125_1125_1125_1097 1127_1128_1128_1128_1127 1293_8371_8371_8371_1293 1131_1128_1128_1128_1338 7_119_119_119_119 4_5_5_5_5 2_3_3_3_3 3_3_3_3_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 189_190_190_190_190 190_190_190_190_191,3
881,3169074,46450,3,1,2_5_5_5_5 5_5_5_5_2 4_3_3_3_3 3_3_3_3_4 4_3_3_3_3 3_3_3_3_4 4_5_5_5_5 4_3_3_3_3 3_3_3_3_4 6_6_6_6_7 7_115_115_115_291 1139_1543_1543_1543_1139 1097_1096_1096_1096_1125 1124_1097_1097_1097_1096 1128_1127_1127_1127_1128 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 6_6_6_6_7 7_193_193_193_193 193_193_193_193_7 1206_1097_1097_1097_1096 1097_1096_1096_1096_1126 1096_1207_1207_1207_1096 1097_1096_1096_1096_1207 1124_1125_1125_1125_1207 9797_1097_1097_1097_1096 1096_1207_1207_1207_1096 1097_1096_1096_1096_1126 1207_1124_1124_1124_1207 1096_1097_1097_1097_1096 1096_1097_1097_1097_1096 1097_1096_1096_1096_1126 1125_1097_1097_1097_1096 1097_1096_1096_1096_1207 1096_1097_1097_1097_1208 1097_1208_1208_1208_1096 1207_1208_1208_1208_1096 1097_1096_1096_1096_1097 1207_1124_1124_1124_1207 1097_1124_1124_1124_1207 1207_1096_1096_1096_1128 1129_1140_1140_1140_1141 1099_1126_1126_1126_1128 1096_1095_1095_1095_1313 291_291_291_291_115 291_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 7_119_119_119_119 4_2_2_2_4 2_5_5_5_5 5_5_5_5_2 5_2_2_2_3 2_3_3_3_3 3_3_3_3_2 189_190_190_190_190 190_190_190_190_191,2
882,3169075,48090,3,1,189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_5_5_5_5 5_5_5_5_2 4_3_3_3_3 3_3_3_3_4 4_5_5_5_5 2_6_6_6_6 1508_3259_3259_3259_4480 4480_1508_1508_1508_1840 2454_2460_2460_2460_2459 1130_1131_1131_1131_1128 1626_1627_1627_1627_1539 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 6_6_6_6_7 1207_1124_1124_1124_1207 1333_1207_1207_1207_1124 1124_1207_1207_1207_1123 1124_1125_1125_1125_1124 1314_1124_1124_1124_1207 1124_1207_1207_1207_1208 1124_1207_1207_1207_1097 2327_2340_2340_2340_2328 2339_3999_3999_3999_2342 570_966_966_966_966 1098_1214_1214_1214_1098 1128_1126_1126_1126_1128 4_3_3_4_3 2_3_3_3_3 3_3_3_3_2 189_190_190_190_190 190_190_190_190_191,2
883,3169077,48117,10,1,189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_5_5_5_5 4_3_3_3_3 3_3_3_3_4 4_5_5_5_5 4_5_5_5_5 5_5_5_5_2 2_6_6_6_6 6_6_6_6_7 1352_4092_4092_4092_2477 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 6_6_6_6_7 2767_1545_1545_1545_1887 3071_1545_1545_1545_1887 1893_2799_2799_2799_1893 2840_3066_3066_3066_3080 4_5_5_5_5 4_2_2_2_5 5_2_2_2_5 189_190_190_190_190 190_190_190_190_191,2
884,3169122,46852,20,-2,2_5_5_5_5 5_5_5_5_2 2_6_6_6_6 719_720_720_720_721 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 7_193_193_193_193 193_193_193_193_7 570_570_570_570_570 291_291_291_291_115 291_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 8027_7_7_7_119 7_119_119_119_119 119_119_119_119_2 2_5_5_5_5 5_5_5_5_2 2_5_5_5_5 5_5_5_5_2 2_5_5_5_5 5_5_5_5_2 189_190_190_190_190 190_190_190_190_191,0
885,3169123,46863,20,-2,2_3_3_3_3 3_3_3_3_2 3_2_3_3_2 2_6_6_6_6 6_6_6_6_7 6_7_7_7_115 7_115_115_115_6370 1868_1373_1373_1373_1868 2921_2342_2342_2342_3868 2_3_3_3_3 3_3_3_3_4 2_5_5_5_5 5_5_5_5_2 2_5_5_5_5 5_5_5_5_2 4_5_5_5_5 4_5_5_5_5 4_3_3_3_3 3_3_3_3_4 2_5_5_5_5 5_5_5_5_2 2_6_6_6_6 6_6_6_6_7 15812_15812_8408_8408_5487 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 116_7_7_7_116 7_7_116_7_7 7_7_116_7_7 116_116_7_116_116 7_7_116_7_7 7_116_7_7_116 116_7_7_116_116 116_7_116_7_116 7_116_7_116_7 7_116_7_7_116 116_7_7_116_116 7_116_116_116_7 7_7_116_7_7 116_7_7_7_116 7_7_116_7_7 7_116_7_7_116 116_7_7_116_116 7_7_116_7_7 7_116_7_7_116 7_116_7_116_7 116_7_116_7_116 7_116_7_116_7 116_7_116_7_116 7_116_7_116_7 116_7_7_116_116 7_116_116_116_7 116_7_7_116_116 116_116_7_116_116 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6050_6048_6048_6048_3509 115_115_115_115_115 115_115_115_115_115 7_7_116_7_7 7_7_116_7_7 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 7_119_119_119_119 5_5_5_5_2 2_5_5_2_5 5_2_5_5_4 4_3_3_3_3 3_3_3_3_2 3_2_2_2_3 2_5_5_5_5 2_5_5_5_5 4_3_3_3_3 3_3_3_3_4 4_3_3_3_3 3_3_3_3_2 189_190_190_190_190,1
886,3169126,39023,298,1,2_3_3_3_3 3_3_3_3_2 4_5_5_5_5 4_3_3_3_3 3_3_3_3_4 2_6_6_6_6 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 7_115_115_115_10256 3747_3748_3748_3748_3747 7513_627_627_627_626 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 291_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 7_119_119_119_119 119_119_119_119_2 4_5_5_5_4 4_5_5_5_5 4_3_3_3_3 3_3_3_3_2 2_3_3_3_3 3_3_3_3_2,0
887,3169127,39023,298,1,2_3_3_3_3 3_3_3_3_2 2_5_5_5_5 4_3_3_3_3 3_3_3_3_4 4_3_3_3_3 3_3_3_3_4 115_115_115_115_115 291_291_291_291_115 291_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_291_291_291_1486 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 3931_4057_4057_4057_3597 8815_11249_11249_11249_8815 11249_8815_8815_8815_11249 291_291_291_291_115 291_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 4_3_3_3_3 3_3_3_3_4 2_3_3_3_3 3_3_3_3_2 189_190_190_190_190,0
888,3169136,41622,81,1,189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_5_5_5_5 5_5_5_5_2 5_2_2_2_4 4_3_3_3_3 3_3_3_3_4 2_5_5_5_5 5_5_5_5_2 2_6_6_6_6 6_6_6_6_7 1502_1504_1504_1504_10133 1205_1527_1527_1527_1332 819_818_818_818_2868 2319_2071_2071_2071_2081 2868_2324_2319_2319_818 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 727_723_723_723_730 5679_1459_1459_1459_11275 1486_291_291_291_291 291_291_291_291_115 291_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 3189_5_5_5_4 4_3_3_3_3 3_3_3_3_2 2_3_3_3_3 3_3_3_3_2 189_190_190_190_190 190_190_190_190_191,0
889,3169138,41559,81,1,189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_5_5_5_5 4_3_3_3_3 3_3_3_3_4 3_4_4_4_3 4_2_2_2_3 2_3_3_3_3 3_3_3_3_2 2_6_6_6_6 6_6_6_6_7 7_115_115_115_291 1506_1084_1084_1084_1506 732_734_734_734_8671 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 2810_1362_1362_1362_1349 2802_1362_1362_1362_2807 3086_2807_2807_2807_2808 4_2_2_2_3 2_3_3_3_3 3_3_3_3_2 2_3_3_3_3 3_3_3_3_2 189_190_190_190_190 190_190_190_190_191,2
890,3169139,41560,81,1,189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_5_2_2_5 291_291_291_291_115 291_115_115_115_115 115_115_115_115_115 115_115_115_115_7 502_5930_5930_5930_502 5930_502_502_502_5930 8197_7471_7471_7471_5814 7471_5814_5814_5814_1088 1523_1142_1142_1142_1523 1332_1527_1527_1527_1332 114_116_116_7_7 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 4088_3390_3390_3390_4088 1893_3086_3086_3086_1893 2795_2796_2796_2796_4214 727_1094_1094_1094_723 1543_1139_1139_1139_1202 731_723_723_723_8223 291_291_291_291_115 291_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 4_5_5_5_5 2_3_3_3_3 3_3_3_3_2 2_3_3_3_3 3_3_3_3_2,2
891,3169142,41622,81,1,189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_5_5_5_5 5_5_5_5_2 4_3_3_3_3 3_3_3_3_4 4_5_5_5_5 5_5_5_5_2 2_6_6_6_6 6_6_6_6_7 1521_1142_1142_1142_1523 7381_7750_7750_7750_7269 119_119_119_119_2 2_6_6_6_6 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 1092_1612_1612_1612_719 1127_1097_1097_1097_1096 1096_1097_1097_1097_1096 1131_1130_1130_1130_1131 8118_7481_7481_7481_7329 1139_1135_1135_1135_1134 1140_1141_1141_1141_1140 1131_1140_1140_1140_1132 1136_1622_1622_1622_1136 1139_1543_1543_1543_1135 1139_1543_1543_1293_1543 1134_1139_1139_1139_1135 2556_733_733_733_1543 1543_726_726_726_8371 1543_733_733_733_1543 2556_733_733_733_1543 2556_1139_1139_1139_1134 2300_819_819_2299_2071 2299_2071_2071_2071_2319 2299_2071_2071_2071_2072 291_291_291_291_115 291_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 4_5_5_5_5 2_3_3_3_3 3_3_3_3_2 2_5_5_5_5 5_5_5_5_2 5_2_5_5_2 5_2_2_2_5 2_5_5_5_5 5_5_5_5_2 189_190_190_190_190 190_190_190_190_191,2
892,3169144,46890,81,1,189_190_190_190_190 192_192_192_192_2 2_5_5_5_5 5_5_5_5_2 4_3_3_3_3 3_3_3_3_4 4_5_5_5_5 6_6_6_6_7 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 119_119_119_119_2 2_6_6_6_6 1331_1352_1352_1352_1331 2477_2794_2794_2794_2477 1370_4092_4092_4092_1352 1331_1352_1352_1352_2186 4092_1370_4092_1370_4092 4092_1370_4092_1370_4092 1545_1893_1893_1893_2799 12483_6819_6819_6819_6819 4_2_2_2_3 2_3_3_3_3 3_3_3_3_2 2_3_3_3_3 3_3_3_3_2 189_190_190_190_190 190_190_190_190_191,2
893,3169147,52522,83,1,189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_3_3_3_3 3_3_3_3_2 4_5_5_5_5 5_5_5_5_2 2_3_3_3_3 3_3_3_3_2 2_6_6_6_6 6_6_6_6_7 115_115_115_115_7 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 6_6_6_6_7 818_2319_2319_2324_2868 2090_7281_7281_7281_2324 9136_8402_8402_8402_9136 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 6_6_6_6_7 818_818_818_818_818 118_118_118_118_7 7_119_119_119_119 2_5_5_5_5 5_5_5_5_2 2_3_3_3_3 3_3_3_3_2 2_3_3_3_3 3_3_3_3_2 189_190_190_190_190 190_190_190_190_191,3
894,3169295,41623,161,1,2_5_5_5_5 5_5_5_5_2 2_5_5_5_5 4_5_5_5_5 4_5_5_5_5 4_3_3_3_3 3_3_3_3_4 4_5_5_5_5 5_4_4_4_2 2_6_6_6_6 6_6_6_6_7 7_115_115_115_291 1097_1313_1313_1313_1335 1334_5641_5641_5641_1334 1334_2462_2462_2462_1313 4092_1352_1352_1352_4092 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 4_5_5_5_5 4_5_5_5_5 4_3_3_3_3 3_3_3_3_4 4_3_3_3_3 3_3_3_3_4 4_3_3_3_3 3_3_3_3_4,0
895,3169318,52519,3,1,2_5_5_5_5 5_5_5_5_2 2_5_5_5_5 5_5_5_5_2 4_3_3_3_4 4_5_5_5_5 7_115_115_115_1770 1348_2189_2189_2189_1348 1348_2189_2189_2189_1348 2460_1334_1334_2459_2461 1294_2187_2187_2187_1294 1095_1097_1097_1097_1208 1207_1096_1096_1096_1097 1097_1096_1096_1096_1097 570_570_570_570_570 1203_1140_1140_1140_1136 1205_1131_1131_1131_1128 1128_1126_1126_1126_1095 1368_2190_2190_2190_1368 4_5_5_5_4 4_3_3_3_3 3_3_3_3_2 189_190_190_190_190 190_190_190_190_191,2
896,3169320,46829,3,1,2_3_3_3_3 3_3_3_3_4 2_6_6_6_6 6_6_6_6_7 7_115_115_115_12 2187_1332_1332_1528_1332 1332_1528_1332_1332_1527 1332_1528_1528_1528_1332 1528_1332_1527_1527_1332 1332_1527_1527_1332_1527 1096_1097_1097_1097_1096 1207_1096_1096_1096_1097 1097_1124_1124_1124_1207 1124_1097_1097_1097_1096 114_116_116_116_7 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 6_6_6_6_7 715_716_716_716_720 1097_1124_1207_1207_1124 1124_1207_1207_1124_1207 1096_1097_1097_1097_1096 1096_1097_1097_1097_1096 4383_4382_4383_4383_4382 2090_7281_7281_7281_2324 2324_2090_2090_2090_2081 2090_2081_2081_2081_2867 818_818_818_818_818 19919_7_7_7_119 7_119_119_119_119 119_119_119_119_2 2_5_2_5_5 2_5_5_5_5 4_3_3_3_3 3_3_3_3_4 189_190_190_190_190 190_190_190_190_191,2
897,3169325,46874,10,1,189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_5_5_5_5 5_5_5_5_2 5_4_4_5_4 5_4_4_4_2 2_5_5_5_5 4_3_3_3_3 3_3_3_3_4 4_3_3_3_3 3_3_3_3_2 2_6_6_6_6 6_6_6_6_7 7_115_115_115_1611 1840_3260_3260_3260_1840 1894_1895_1895_1895_1877 2767_1545_1545_1545_2767 3071_1884_1884_1884_1885 1545_1885_1885_1885_1884 1885_1884_1884_1884_1885 1885_1884_1884_1884_1885 1895_1894_1894_1894_1545 1885_1884_1885_1884_1885 2799_1545_2767_2767_1887 1893_2799_2799_2799_2477 1545_2767_1545_2767_1545 1545_2767_1545_2767_1545 1545_2767_1545_2767_1545 1545_2767_1545_2767_1545 1545_2767_1545_2767_1545 2767_1545_1545_1545_2767 1545_2767_2767_2767_1545 2767_1545_1545_1545_2767 3071_1545_1545_1545_2767 1885_1884_1884_1884_1894 1545_2767_2767_2767_1545 1376_3266_3266_3266_3072 1545_2767_2767_2767_1545 1884_1885_1885_1885_1376 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 119_119_119_119_2 119_2_2_2_4 4_3_3_3_3 3_3_3_3_4 4_3_3_3_3 3_3_3_3_4 4_3_3_3_3 3_3_3_3_2 2_3_3_3_3 3_3_3_3_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_3_3_3_3 3_3_3_3_2 2_5_2_5_5 2_5_5_5_5 5_5_5_5_2 4_5_5_5_5 5_5_5_5_2 2_6_6_6_6 6_6_6_6_7 7_115_115_115_291 5725_4607_4607_4607_15284 2767_2767_1545_2767_2767 2799_1893_1893_1893_2799 1885_1884_1885_1884_1885 1885_1884_1885_1884_1885 2767_2477_2477_2477_2794 1884_1885_1885_1885_1884 1893_2767_2767_2767_1545 2767_2767_1545_2767_2767 2767_2767_1545_2767_2767 1545_2767_2767_2767_1893 2799_1893_1893_1893_2767 2767_1884_1884_1885_1885 2767_1545_1545_1545_2767 2767_2767_1545_2767_2767 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 8115_715_715_715_1620 1895_1894_1894_1894_1895 1895_1894_1894_1894_1884 2802_2803_2803_2803_1365 2803_2477_2477_2477_2795 1367_2812_2812_2812_5639 1144_5820_5820_5820_1144 1885_1884_1884_1884_1545 1885_1884_1884_1884_1885 1486_291_291_291_291 291_291_291_291_115 291_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 7_119_119_119_119 119_119_119_119_2 4_3_3_3_4 4_3_3_3_3 3_3_3_3_2 4_3_3_4_3 3_4_3_3_4 4_3_3_3_3 3_3_3_3_2 189_190_190_190_190 190_190_190_190_191,2
898,3169328,46855,10,1,189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_5_5_5_5 4_5_5_5_5 4_5_5_5_5 4_3_3_3_3 3_3_3_3_4 4_3_3_3_3 3_3_3_3_4 4_3_3_3_3 3_3_3_3_4 4_3_3_3_3 3_3_3_3_2 2_6_6_6_6 6_6_6_6_7 7_115_115_115_1292 1893_2799_2799_2799_2477 2477_2794_2794_2794_2477 734_1519_1519_1519_734 2477_2795_2795_2795_1370 1367_2812_2812_2812_5639 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 925_714_714_714_715 1378_1880_1880_1880_1378 1378_1880_1880_1880_1378 4094_4095_4095_4095_8045 10448_8894_8894_8894_3253 1869_1381_1381_1381_1869 1486_291_291_291_291 291_291_291_291_115 291_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 7_119_119_119_119 119_119_119_119_2 4_5_5_5_4 4_3_3_3_4 4_3_3_3_3 3_3_3_3_4 4_3_3_3_4 2_3_3_3_3 3_3_3_3_2 2_3_3_3_3 3_3_3_3_2 189_190_190_190_190 190_190_190_190_191,3
